state,transactions,fraud_count,fraud_rate,avg_amount,fraud_rate_percent
DE,9,9,1.0,514.4933333333333,100.0
RI,550,15,0.02727272727272727,81.93939999999996,2.727272727272727
AK,2120,36,0.016981132075471698,68.21841981132074,1.6981132075471699
NV,5607,47,0.008382379168896023,56.53647761726415,0.8382379168896023
CO,13880,113,0.00814121037463977,78.54260158501445,0.814121037463977
OR,18597,149,0.008012044953487122,70.41862450932946,0.8012044953487122
TN,17554,140,0.007975390224450268,74.82700410162924,0.7975390224450268
NE,24168,180,0.007447864945382324,67.2437450347567,0.7447864945382324
ME,16505,119,0.007209936382914268,63.54781823689791,0.7209936382914268
NH,8278,59,0.00712732544092776,74.00965329789803,0.712732544092776
OH,46480,321,0.006906196213425129,73.06683864027539,0.6906196213425129
KS,22996,156,0.006783788484953905,69.31233736301965,0.6783788484953905
VA,29250,198,0.00676923076923077,70.72518393162397,0.676923076923077
NY,83501,555,0.006646626986503155,71.93325864360907,0.6646626986503156
SC,29190,193,0.006611853374443303,64.31591092840013,0.6611853374443303
FL,42671,281,0.006585268683649317,73.9422940638841,0.6585268683649317
MN,31714,207,0.006527085829602069,69.42631235416533,0.6527085829602068
VT,11768,72,0.006118286879673691,82.09534585316109,0.6118286879673691
SD,12324,74,0.006004543979227524,70.63921940928267,0.6004543979227523
MD,26193,157,0.005993967854006796,64.89049822471655,0.5993967854006796
DC,3613,21,0.005812344312205923,76.69954608358705,0.5812344312205923
CA,56360,326,0.005784244144783534,73.42225887154008,0.5784244144783535
PA,79847,458,0.005735970042706677,72.27584668177889,0.5735970042706676
IL,43252,248,0.005733838897623232,69.63588504577825,0.5733838897623231
UT,10699,61,0.005701467426862323,64.3941181418824,0.5701467426862323
WY,19322,110,0.005692992443846393,75.75822792671563,0.5692992443846393
WV,25691,146,0.005682923981160718,70.82434043050095,0.5682923981160718
GA,26063,146,0.005601810996431723,69.87139354640681,0.5601810996431723
MA,12376,69,0.005575307045895281,61.698787168713615,0.5575307045895281
WI,29368,163,0.005550258785072188,68.92153943067284,0.5550258785072187
KY,28475,155,0.005443371378402107,66.26182932396839,0.5443371378402108
MS,21188,115,0.005427600528601095,67.33148857844063,0.5427600528601094
OK,26671,143,0.0053616287353305085,67.1252041543249,0.5361628735330508
IA,26985,142,0.005262182694089309,65.5953044283861,0.5262182694089309
AL,40989,215,0.005245309717241211,65.44968406157749,0.5245309717241211
AR,31127,161,0.00517235840267292,75.25520705496835,0.5172358402672921
MI,46154,238,0.005156649477835074,71.12547038176542,0.5156649477835074
IN,27580,142,0.005148658448150834,68.74872298767222,0.5148658448150834
WA,18924,96,0.0050729232720355105,73.77716497569227,0.507292327203551
TX,94876,479,0.005048695138918167,71.68216967410095,0.5048695138918167
NM,16407,82,0.004997866764186018,61.108140427866154,0.49978667641860186
MO,38403,191,0.004973569773194802,68.6783079446918,0.4973569773194802
NC,30266,149,0.004923015925460913,76.97751106852574,0.4923015925460913
NJ,24603,118,0.004796163069544364,66.41398569280169,0.4796163069544364
LA,20965,91,0.004340567612687813,74.95842260911039,0.4340567612687813
ND,14786,57,0.0038549979710536995,65.4992634924929,0.38549979710536997
AZ,10770,37,0.003435468895078923,75.05343825441038,0.3435468895078923
HI,2559,7,0.0027354435326299334,59.00157483391949,0.2735443532629933
MT,11754,32,0.00272247745448358,69.30607027394929,0.272247745448358
CT,7702,16,0.002077382498052454,64.70059465074004,0.20773824980524538
ID,5545,11,0.0019837691614066726,73.0660522993688,0.19837691614066727
